esr_id;name;latitude;longitude
021721;59 км;61.00471497;29.39776611
021806;Светогорск;61.11769485;28.84592247
021810;Кивиоя;61.086586;28.90491295
022007;Лесогорский;61.04912567;28.92511559
022103;Пруды;61.01275635;29.03441811
022122;5 км;60.99104691;29.09818649
022226;59 км;59.43826675;33.03925323
022300;Бородинское;61.0190239;29.41582489
022315;Инкиля;61.05994034;29.4389782
022326;Хаколахти;61.09786987;29.50951004
022334;Ояярви;61.14548874;29.56900597
022349;Пукинниеми;61.18806839;29.57033157
022353;199 км;61.44209671;29.81713867
022368;192 км;61.38697052;29.75471306
022404;Хийтола;61.23551178;29.6879158
022419;Хауккаваара;61.25185013;29.69153595
022423;Алхо;61.32156372;29.72483444
022508;Боровинка;60.96175766;29.24504089
022616;Лосево;60.68520737;30.00359154
022635;79 км;60.58889389;30.1764431
022645;Петяярви;60.63170242;30.11213875
022654;Лосево-1;60.66573334;30.03587914
022705;Громово;60.72546387;30.07390213
022711;Суходолье;60.76960373;30.14072609
022813;Отрадное;60.82505417;30.12957382
022902;Мюллюпельто;60.9076767;30.08004951
022917;Синёво;60.95097351;30.09226418
023002;Приозерск;61.0358696;30.10265541
023017;Капеасалми;61.06712723;29.98828697
023106;Кузнечное;61.11316681;29.87439156
023110;168 км;61.20301819;29.73833656
023125;165 км;61.18334579;29.76975822
023202;Элисенваара;61.41191101;29.76240349
023214;Аккахарью;61.46135712;29.87077522
023229;Ихала;61.49648285;30.00032806
023604;Яккима;61.5165596;30.13059998
023619;Хухоямяки;61.55082321;30.19127274
023638;Нива;61.61237717;30.27288246
023642;Куокканиеми;61.6532135;30.37856102
023661;Туокслахти;61.68230057;30.56311035
023708;Сортавала;61.69484711;30.67456436
023801;Хелюля;61.74423981;30.66929245
023816;Рюттю;61.80595398;30.59871674
023905;Кааламо;61.89603043;30.50342941
024005;Маткаселькя;61.96747589;30.53711319
024109;Вяртсиля;62.16742706;30.64453506
024113;Пялькьярви;62.10910416;30.5866642
024128;Пяльксаари;62.07566452;30.5682373
024408;Олонец;60.9882431;32.96352386
024414;Инема;60.81487656;33.33693314
024429;Тукса;61.00067139;32.82998657
024522;Тулокса;61.11831665;32.56305313
024607;Видлица;61.18410873;32.38723373
024611;Погранкондуши;61.23550034;32.21020126
024700;Салми;61.37395859;31.84132195
024727;Иля-Ууксу;61.50027084;31.6028614
024734;Иля-Ууксу;61.50794601;31.58229065
024804;Питкяранта;61.57395554;31.46224594
024819;Койриноя;61.65098572;31.41770363
024908;Леппясилта;61.68035889;31.26125336
025008;Ляскеля;61.76086807;30.98909569
025101;Харлу;61.81689835;30.9324379
025120;Янисъярви;61.89091492;30.94782829
025135;Алалампи;61.92477798;30.8343811
025309;Чална-Онежская;61.87795258;34.08392334
025313;509 км;61.87704849;33.84524918
025328;Падозеро;61.86514664;33.91668701
025417;Кутижма;61.86733246;33.5452919
025421;Сяньга;61.86861801;33.33787537
025436;Виллагора;61.88871765;33.71274185
025506;Эссойла;61.84416199;33.21437836
025603;Иматозеро;61.84601212;33.08821106
025703;Новые Пески;61.83368683;32.94664764
025718;Застава;61.8898468;32.77358246
025737;Хаутаваара;61.98838806;32.63640976
025756;Веркко;62.03145218;32.47212219
025807;Суоярви 1;62.0826416;32.34139633
025811;Паперо;62.04546738;32.17103958
025900;Пийтсиеки;62.03116608;32.09983063
025915;Няятяоя;62.01758957;32.00352478
026000;Лоймола;61.97844315;31.74139404
026104;Райконкоски;61.92153168;31.54512978
026119;346 км;61.86717606;31.40041733
026212;Суйстамо;61.88421249;31.19725227
026227;Алатту;61.88521576;31.05463219
026231;Леппясюрья;61.86991882;31.3336525
026301;Суоярви 2;62.10041428;32.37121964
026320;Суоёки;62.18677521;32.54138565
026335;22 км;62.20520401;32.60724258
026405;Найстенъярви;62.27614975;32.67831039
026413;35 км;62.3034668;32.66839218
026509;Лахколамен;62.43447495;32.64677048
026617;Тумасозеро;62.56140137;32.70253372
026706;Поросозеро;62.69779205;32.69054413
026809;Аконъярви;62.73794937;32.69776535
026922;Руголамби;63.11216736;32.31671906
026937;Гимольская;62.93160629;32.50928116
027003;Суккозеро;63.172966;32.31951141
027018;Брусничная;63.22771454;32.29603958
027022;148 км;63.23371506;32.27950668
027037;Кангас;63.33171844;32.20315552
027111;170 км;63.25003433;31.87114525
027126;Суун;63.24518204;32.06143951
027215;197 км;63.35768127;31.47141266
027223;Мотко;63.27837753;31.7373085
027304;Лендеры;63.3939743;31.26740456
027408;Пенинга;63.53364182;32.07826996
027412;Волома;63.63772202;32.02998734
027516;Сельга;63.86580276;32.00455856
027709;Ледмозеро;64.25811005;32.04017258
027713;Кимасозеро;64.44332886;31.26131058
027732;Ледмозеро 2;64.27519226;32.01784897
027747;Пертозеро;64.0982666;33.05553818
027751;Разъезд 24 км;64.31201172;31.62142181
027802;Костомукша-Товарная;64.63208771;30.789114
027906;Костомукша-Пассажирская;64.60838318;30.60281944
028006;Кивиярви;64.54953003;30.06417656
028307;Боровая;64.61392975;32.22669601
028400;Юшкозеро;64.77043152;32.23126221
028504;Бусловская;60.84064484;28.37717056
